Model,Role,Seamount_aspect_ratio_SA,Block_to_matrix_ratio_BM,Matrix_pore_fluid_pressure_ratio_lambda
TY1,reference,0.0,0.27,0.8
TY2,,0.2,0.1,0.8
TY3,,0.2,0.27,0.8
TY4,,0.2,0.45,0.8
TY5,,0.2,0.6,0.8
TY6,,0.4,0.1,0.8
TY7,,0.4,0.27,0.8
TY8,,0.4,0.45,0.8
TY9,,0.4,0.6,0.8
TY10,,0.2,0.1,0.87
TY11,,0.2,0.27,0.87
TY12,,0.2,0.45,0.87
TY13,,0.2,0.6,0.87
TY14,,0.4,0.1,0.87
TY15,,0.4,0.27,0.87
TY16,,0.4,0.45,0.87
TY17,,0.4,0.6,0.87
TY18,,0.2,0.1,0.95
TY19,,0.2,0.27,0.95
TY20,,0.2,0.45,0.95
TY21,,0.2,0.6,0.95
TY22,,0.4,0.1,0.95
TY23,,0.4,0.27,0.95
TY24,,0.4,0.45,0.95
TY25,,0.4,0.6,0.95
